Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
8/31/2017,10025,NY,New York,New York,New York,0,3545,0.003680634,0.002545249,-0.023684935,22431
8/31/2017,60657,IL,Chicago,Cook,Chicago,1,1899,0.002639916,0.011182109,-0.028644501,32223
8/31/2017,10023,NY,New York,New York,New York,2,3887,0.013031014,0.026948481,-0.0218923,29114
8/31/2017,60614,IL,Chicago,Cook,Chicago,3,2132,-0.001872659,0.009947892,-0.035294118,33150
8/31/2017,79936,TX,El Paso,El Paso,El Paso,4,985,-0.005050505,-0.007056452,-0.017946162,31486
8/31/2017,10002,NY,New York,New York,New York,5,3730,0.00783572,0.027548209,-0.01764551,9172
8/31/2017,60640,IL,Chicago,Cook,Chicago,6,1616,0.000619195,0.004975124,-0.011620795,22477
8/31/2017,10467,NY,New York,Bronx,New York,7,1756,0.002855511,0.016792125,0.006303725,7339
8/31/2017,77084,TX,Houston,Harris,Houston,8,1426,0.003518649,0.008486563,-0.010409438,26718
8/31/2017,94109,CA,San Francisco,San Francisco,San Francisco,9,4429,-0.00180302,-0.00494271,-0.026379424,9561
8/31/2017,75070,TX,Dallas-Fort Worth,Collin,McKinney,10,1930,0,0.002076843,0.004162331,28948
8/31/2017,11226,NY,New York,Kings,New York,11,2158,0.005591799,0.008882655,0.002788104,10575
8/31/2017,77494,TX,Houston,Fort Bend,Cinco Ranch,12,2148,-0.0013947,-0.004172462,-0.041071429,31576
8/31/2017,77449,TX,Houston,Harris,Cypress,13,1422,0.003528582,0.004946996,-0.024021963,31979
8/31/2017,11375,NY,New York,Queens,New York,14,2135,-0.006514658,-0.014766959,-0.026891522,22413
8/31/2017,10016,NY,New York,New York,New York,15,3688,0.01013421,0.026154702,-0.018365717,26908
8/31/2017,11235,NY,New York,Kings,New York,16,2232,0.004048583,-0.001342282,0.013163867,16914
8/31/2017,60647,IL,Chicago,Cook,Chicago,17,1819,0.00275634,0.018477044,0.012806236,20165
8/31/2017,37211,TN,Nashville,Davidson,Nashville,18,1533,-0.00065189,0.00921659,0.038617886,20517
8/31/2017,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,19,2606,0.006566242,0.021560172,0.044907779,14870
8/31/2017,37013,TN,Nashville,Davidson,Nashville,20,1434,0,0.004201681,0.034632035,22726
8/31/2017,10009,NY,New York,New York,New York,21,3875,0.012542461,0.034160662,-0.011983682,9251
8/31/2017,60618,IL,Chicago,Cook,Chicago,22,1855,0.003244997,0.011450382,-0.006959315,20788
8/31/2017,10029,NY,New York,New York,New York,23,3030,0.000660502,0.010336779,0.003311258,5782
8/31/2017,10128,NY,New York,New York,New York,24,3346,-0.002682563,0.007224564,-0.019917985,22879
8/31/2017,10011,NY,New York,New York,New York,25,4328,0.012160898,0.035159053,-0.052331947,21512
8/31/2017,28269,NC,Charlotte,Mecklenburg,Charlotte,26,1328,0.003779289,0.01529052,0.027863777,26177
8/31/2017,78572,TX,McAllen,Hidalgo,Mission,27,1028,-0.008678881,-0.02743614,-0.032015066,20099
8/31/2017,77573,TX,Houston,Galveston,League City,28,1965,0.00255102,0.001529052,-0.016516517,26004
8/31/2017,30349,GA,Atlanta,Clayton,Riverdale,29,1108,0.006357856,0.013723696,0.046270066,23999
8/31/2017,79912,TX,El Paso,El Paso,El Paso,30,1234,0,-0.004035513,-0.013589129,20964
8/31/2017,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,31,3859,-0.005924781,-0.009242619,-0.019563008,11061
8/31/2017,94565,CA,San Francisco,Contra Costa,Pittsburg,32,2163,0.006046512,0.013114754,0.047965116,22279
8/31/2017,77584,TX,Houston,Brazoria,Pearland,33,1887,-0.004221636,-0.011006289,-0.039694656,22764
8/31/2017,10003,NY,New York,New York,New York,34,4104,0.014585909,0.040567951,-0.022391615,20669
8/31/2017,10462,NY,New York,Bronx,New York,35,1555,0.000643501,-0.032358432,-0.127384961,18630
8/31/2017,10456,NY,New York,Bronx,New York,36,1867,0.003224073,0.025260846,0.033204206,3302
8/31/2017,60613,IL,Chicago,Cook,Chicago,37,1665,0.001202646,0.002408188,-0.045298165,25424
8/31/2017,78660,TX,Austin,Travis,Pflugerville,38,1638,-0.001828154,-0.004255319,-0.00667071,23295
8/31/2017,75052,TX,Dallas-Fort Worth,Dallas,Grand Prairie,39,1550,0.003236246,0.007147498,0.042367182,25195
8/31/2017,20009,DC,Washington,District of Columbia,Washington,40,2829,-0.001411931,0.00855615,0.031352534,15939
8/31/2017,20002,DC,Washington,District of Columbia,Washington,41,2736,0.003668379,0.014836795,0.054741712,18635
8/31/2017,21234,MD,Baltimore,Baltimore,Parkville,42,1620,0.003095975,0.008089608,0.022727273,21952
8/31/2017,63376,MO,St. Louis,Saint Charles,Saint Peters,43,1433,-0.00069735,0.001397624,0.005614035,27607
8/31/2017,77036,TX,Houston,Harris,Houston,44,1263,0,-0.00785546,-0.028461538,10564
8/31/2017,30044,GA,Atlanta,Gwinnett,Lawrenceville,45,1335,0.002252252,0.01443769,0.038910506,23914
8/31/2017,10463,NY,New York,Bronx,New York,46,1992,0.004032258,0.011681056,0.039123631,7488
8/31/2017,60629,IL,Chicago,Cook,Chicago,47,1443,0.000693481,0.011921459,0.005574913,20840
8/31/2017,60625,IL,Chicago,Cook,Chicago,48,1634,0.002453988,0.01743462,-0.007893139,16819
8/31/2017,11206,NY,New York,Kings,New York,49,2621,0.003445636,0.004214559,-0.000762486,8597
8/31/2017,11230,NY,New York,Kings,New York,50,2240,0,-0.011037528,0.007194245,11784
8/31/2017,11209,NY,New York,Kings,New York,51,2272,0.002647838,0.003977022,0.021123596,15498
8/31/2017,11201,NY,New York,Kings,New York,52,2969,0.00678196,0.032336579,0.02733564,20358
8/31/2017,78613,TX,Austin,Williamson,Cedar Park,53,1729,-0.000578035,0.001738123,-0.023715415,23738
8/31/2017,11212,NY,New York,Kings,New York,54,2146,0.004681648,-0.006941231,0.009882353,5959
8/31/2017,37042,TN,Clarksville,Montgomery,Clarksville,55,935,-0.001068376,0.003218884,0.014099783,26334
8/31/2017,75287,TX,Dallas-Fort Worth,Dallas,Dallas,56,1990,0,0.002014099,0.002014099,6766
8/31/2017,10024,NY,New York,New York,New York,57,4128,0.012509198,0.028656865,-0.024113475,19284
8/31/2017,77479,TX,Houston,Fort Bend,Sugar Land,58,2337,-0.001708672,-0.000427716,-0.05,26606
8/31/2017,77429,TX,Houston,Harris,Cypress,59,1718,0,-0.008083141,-0.039686976,25894
8/31/2017,85032,AZ,Phoenix,Maricopa,Phoenix,60,1355,0.007434944,0.020331325,0.047950503,21569
8/31/2017,78130,TX,San Antonio,Comal,New Braunfels,61,1483,0.001350439,0.014363885,0.036338225,21793
8/31/2017,11214,NY,New York,Kings,New York,62,2216,0,0,0.018382353,12009
8/31/2017,77077,TX,Houston,Harris,Houston,63,1988,-0.004008016,-0.019240257,-0.019240257,12495
8/31/2017,78521,TX,Brownsville,Cameron,Brownsville,64,903,0.001108647,0.028473804,0.022650057,21381
8/31/2017,30043,GA,Atlanta,Gwinnett,Lawrenceville,65,1477,0.004761905,0.01303155,0.032867133,24460
8/31/2017,30096,GA,Atlanta,Gwinnett,Duluth,66,1421,0.007087172,0.016452074,0.034206696,15440
8/31/2017,23464,VA,Virginia Beach,Virginia Beach City,Virginia Beach,67,1540,-0.000648929,-0.004524887,0.007853403,24717
8/31/2017,94501,CA,San Francisco,Alameda,Alameda,68,3303,0.003646308,0.02865151,-0.01579261,15142
8/31/2017,7030,NJ,New York,Hudson,Hoboken,69,2872,-0.001043478,0.011980268,-0.013736264,22302
8/31/2017,60619,IL,Chicago,Cook,Chicago,70,1352,0.00222387,0.005952381,0.007451565,16391
8/31/2017,73099,OK,Oklahoma City,Canadian,Yukon,71,1228,0.003267974,0.011532125,-0.033831629,25756
8/31/2017,11229,NY,New York,Kings,New York,72,2222,-0.001348315,-0.019417476,0.019733823,15464
8/31/2017,94110,CA,San Francisco,San Francisco,San Francisco,73,4611,0.008530184,0.006548788,-0.030079933,13459
8/31/2017,28277,NC,Charlotte,Mecklenburg,Charlotte,74,1864,-0.003208556,-0.008510638,0.026431718,23885
8/31/2017,75243,TX,Dallas-Fort Worth,Dallas,Dallas,75,1472,0.005464481,0.011683849,0.055954089,11294
8/31/2017,90034,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,76,3482,0,0.003169116,0.007523148,8210
8/31/2017,33160,FL,Miami-Fort Lauderdale,Miami-Dade,Sunny Isles Beach,77,2191,-0.003638017,-0.003638017,-0.065273038,47681
8/31/2017,33139,FL,Miami-Fort Lauderdale,Miami-Dade,Miami Beach,78,2052,-0.007256894,-0.025178147,-0.091633466,33098
8/31/2017,44107,OH,Cleveland,Cuyahoga,Lakewood,79,1223,0.006584362,0.010743802,0.002459016,15230
8/31/2017,77379,TX,Houston,Harris,Tomball,80,1777,0,-0.003923767,-0.041014571,25036
8/31/2017,11377,NY,New York,Queens,New York,81,2275,0.00308642,0.00886918,-0.01642888,11766
8/31/2017,90044,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,82,2352,0.004269855,0.023498695,0.135135135,13556
8/31/2017,33411,FL,Miami-Fort Lauderdale,Palm Beach,Royal Palm Beach,83,1918,0.001043841,0.003663004,0.017506631,30491
8/31/2017,11234,NY,New York,Kings,New York,84,2211,-0.004054054,-0.024271845,0.016084559,21215
8/31/2017,90650,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Norwalk,85,2330,0.001289214,0.007349762,0.062956204,22058
8/31/2017,90805,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Long Beach,86,2246,0.000445434,0.007626738,0.083976834,15492
8/31/2017,11207,NY,New York,Kings,New York,87,2220,-0.00090009,-0.01289462,-0.006711409,12430
8/31/2017,75067,TX,Dallas-Fort Worth,Denton,Lewisville,88,1638,0,0.003061849,0.018656716,12128
8/31/2017,60617,IL,Chicago,Cook,Chicago,89,1337,0.008295626,0.021390374,0.011346445,20708
8/31/2017,10019,NY,New York,New York,New York,90,3878,0.008582575,0.023218997,-0.016235413,20659
8/31/2017,44035,OH,Cleveland,Lorain,Elyria,91,847,0.002366864,0.016806723,0.013157895,21011
8/31/2017,23462,VA,Virginia Beach,Virginia Beach City,Virginia Beach,92,1291,0.000775194,0.000775194,-0.000773994,21944
8/31/2017,19143,PA,Philadelphia,Philadelphia,Philadelphia,93,1091,0.006457565,0.017723881,0.058195926,23038
8/31/2017,48197,MI,Ann Arbor,Washtenaw,Ypsilanti,94,1527,-0.00908501,-0.028625954,0.039482641,16821
8/31/2017,78704,TX,Austin,Travis,Austin,95,2187,-0.00319052,-0.006811989,0.004132231,14057
8/31/2017,92683,CA,Los Angeles-Long Beach-Anaheim,Orange,Westminster,96,2816,0.004637888,0.019182048,0.042576823,18098
8/31/2017,8701,NJ,New York,Ocean,Lakewood Township,97,1911,-0.001045478,0.003676471,0.034090909,21467
8/31/2017,85710,AZ,Tucson,Pima,Tucson,98,1126,0.008057296,0.031135531,0.067298578,17105
8/31/2017,11355,NY,New York,Queens,New York,99,2254,0.004008909,0.005800982,-0.003977022,13892
8/31/2017,78666,TX,Austin,Hays,San Marcos,100,1430,0,-0.004178273,0.004213483,11752
8/31/2017,66062,KS,Kansas City,Johnson,Olathe,101,1725,-0.002313476,-0.001736111,0.002906977,23670
8/31/2017,78745,TX,Austin,Travis,Austin,102,1652,-0.00120919,-0.000604961,-0.003017502,17310
8/31/2017,95630,CA,Sacramento,Sacramento,Folsom,103,2227,-0.002240143,0.00179937,0.047014575,22060
8/31/2017,91910,CA,San Diego,San Diego,Chula Vista,104,2396,0.00714586,0.023057216,0.042645779,16348
8/31/2017,90026,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,105,3006,0.008386448,0.020366599,0.053258584,9662
8/31/2017,10314,NY,New York,Richmond,New York,106,2137,0.012316438,0.027403846,0.023467433,24931
8/31/2017,87111,NM,Albuquerque,Bernalillo,Albuquerque,107,1329,0.006818182,0.009111617,-0.003748126,18848
8/31/2017,94558,CA,Napa,Napa,Napa,108,2629,0.003818251,0.014274691,-0.00227704,16674
8/31/2017,11215,NY,New York,Kings,New York,109,2735,0.012962963,0.027037176,0.013338273,19588
8/31/2017,98052,WA,Seattle,King,Redmond,110,2665,0.006800151,0.019900498,0.039391576,19679
8/31/2017,30024,GA,Atlanta,Gwinnett,Suwanee,111,1888,0.007470651,0.027762657,0.015599785,22770
8/31/2017,32210,FL,Jacksonville,Duval,Jacksonville,112,1029,0.004882813,0.012795276,0.036253776,19993
8/31/2017,6010,CT,Hartford,Hartford,Bristol,113,1430,0.00069979,-0.027210884,-0.04155496,19875
8/31/2017,11221,NY,New York,Kings,New York,114,2463,0.002034174,0.002442002,0,13736
8/31/2017,33025,FL,Miami-Fort Lauderdale,Broward,Miramar,115,1642,0.001830384,0.003667482,0.001219512,25052
8/31/2017,60610,IL,Chicago,Cook,Chicago,116,1884,0.009646302,0.031763417,-0.028365137,28342
8/31/2017,30281,GA,Atlanta,Henry,Stockbridge,117,1188,0.007633588,0.02502157,0.03125,20746
8/31/2017,89108,NV,Las Vegas,Clark,Las Vegas,118,1134,0.007104796,0.021621622,0.047091413,19609
8/31/2017,78240,TX,San Antonio,Bexar,San Antonio,119,1341,0.001493652,0.003742515,0.010550113,12119
8/31/2017,85225,AZ,Phoenix,Maricopa,Chandler,120,1328,0.005299016,0.01529052,0.032659409,20097
8/31/2017,77433,TX,Houston,Harris,Cypress,121,1707,-0.002920561,-0.013294798,-0.059504132,24955
8/31/2017,2169,MA,Boston,Norfolk,Quincy,122,2252,0.002225189,-0.00177305,0.010318528,14937
8/31/2017,33009,FL,Miami-Fort Lauderdale,Broward,Hallandale,123,1601,-0.003733665,-0.003733665,-0.03321256,35649
8/31/2017,15601,PA,Pittsburgh,Westmoreland,Greensburg,124,923,0.007641921,-0.004314995,-0.052361396,19320
8/31/2017,93722,CA,Fresno,Fresno,Fresno,125,1297,0.000771605,-0.000770416,0.022870662,20328
8/31/2017,48180,MI,Detroit,Wayne,Taylor,126,987,0.009202454,0.033507853,0.099109131,21805
8/31/2017,78245,TX,San Antonio,Bexar,San Antonio,127,1281,0.001563722,0.011848341,0.033064516,20552
8/31/2017,17603,PA,Lancaster,Lancaster,Lancaster,128,1141,-0.001749781,-0.000875657,0.042961609,19093
8/31/2017,95608,CA,Sacramento,Sacramento,Carmichael,129,1771,0.006822058,0.029052876,0.056682578,18370
8/31/2017,85308,AZ,Phoenix,Maricopa,Glendale,130,1434,0.002096436,0.009148487,0.019914651,21852
8/31/2017,94533,CA,Vallejo,Solano,Fairfield,131,1929,0.0046875,0.02715655,0.085537423,18092
8/31/2017,60611,IL,Chicago,Cook,Chicago,132,1977,0.012807377,0.043822598,-0.037956204,30332
8/31/2017,43055,OH,Columbus,Licking,Newark,133,833,0.01092233,0.014616322,-0.029137529,20737
8/31/2017,14850,NY,Ithaca,Tompkins,Ithaca,134,1727,0.008761682,0.039735099,-0.01201373,12458
8/31/2017,87114,NM,Albuquerque,Bernalillo,Albuquerque,135,1245,0.000803859,-0.000802568,-0.021226415,20745
8/31/2017,33024,FL,Miami-Fort Lauderdale,Broward,Pembroke Pines,136,1767,0.005119454,0.011448197,0.007986309,25540
8/31/2017,80013,CO,Denver,Arapahoe,Aurora,137,1850,0.0087241,0.019845645,0.001082251,23726
8/31/2017,20906,MD,Washington,Montgomery,Silver Spring,138,1938,-0.00051573,0.00466563,-0.022199798,22463
8/31/2017,37075,TN,Nashville,Sumner,Hendersonville,139,1685,-0.001777251,-0.006485849,0.022451456,22651
8/31/2017,11211,NY,New York,Kings,New York,140,2987,0.000334896,0.006062647,0.034996535,12520
8/31/2017,90066,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,141,4206,0.00742515,0.017662715,0.023357664,13004
8/31/2017,11373,NY,New York,Queens,New York,142,2244,0.006278027,0.014008134,-0.009271523,12665
8/31/2017,11385,NY,New York,Queens,New York,143,2254,0.007599464,0.022686025,-0.01399825,14235
8/31/2017,85281,AZ,Phoenix,Maricopa,Tempe,144,1324,0.004552352,0.015337423,0.029548989,13165
8/31/2017,44060,OH,Cleveland,Lake,Mentor,145,1315,-0.006046863,-0.014242879,-0.012762763,24789
8/31/2017,43081,OH,Columbus,Franklin,Westerville,146,1512,0.00265252,0.017496635,0.036326251,20728
8/31/2017,78577,TX,McAllen,Hidalgo,Pharr,147,911,-0.018318966,-0.029818956,-0.004371585,16099
8/31/2017,28027,NC,Charlotte,Cabarrus,Concord,148,1382,0.005822416,0.016924209,0.02827381,21475
8/31/2017,85364,AZ,Yuma,Yuma,Yuma,149,859,-0.001162791,0.002333722,0.020190024,17689
8/31/2017,8753,NJ,New York,Ocean,Toms River,150,1917,-0.005189414,-0.003120125,0.049261084,24423
8/31/2017,92677,CA,Los Angeles-Long Beach-Anaheim,Orange,Laguna Niguel,151,3365,-0.001779887,0.001488095,0.033794163,24318
8/31/2017,91709,CA,Riverside,San Bernardino,Chino Hills,152,3049,0.001971738,0.011612475,0.082741477,21205
8/31/2017,65807,MO,Springfield,Greene,Springfield,153,811,-0.004907975,-0.019347037,-0.00976801,16903
8/31/2017,60620,IL,Chicago,Cook,Chicago,154,1367,0.000732064,0.006627393,0.014094955,16391
8/31/2017,75034,TX,Dallas-Fort Worth,Collin,Frisco,155,2521,0,-0.000792707,-0.018302181,16997
8/31/2017,10028,NY,New York,New York,New York,156,3434,-0.001744186,0.010891963,-0.021094641,17986
8/31/2017,60634,IL,Chicago,Cook,Chicago,157,1790,-0.005002779,-0.001116071,0.007315701,20380
8/31/2017,95823,CA,Sacramento,Sacramento,Sacramento,158,1468,0.013812155,0.021572721,0.055355859,16523
8/31/2017,92804,CA,Los Angeles-Long Beach-Anaheim,Orange,Anaheim,159,2625,0.006518405,0.025390625,0.05548854,14537
8/31/2017,27410,NC,,Guilford,Greensboro,160,1413,0.012903226,0.043574594,0.038207201,19349
8/31/2017,6902,CT,Stamford,Fairfield,Stamford,161,2301,0.004803493,0.014103129,0.009653357,15541
8/31/2017,43123,OH,Columbus,Franklin,Grove City,162,1361,0.008148148,0.019475655,0.035768645,21877
8/31/2017,20011,DC,Washington,District of Columbia,Washington,163,2681,0.002617801,0.021333333,0.053852201,17062
8/31/2017,60016,IL,Chicago,Cook,Des Plaines,164,1655,0.001209921,0.007917174,0.01908867,22451
8/31/2017,92109,CA,San Diego,San Diego,San Diego,165,3038,0.006626905,0.030529172,0.05522751,15185
8/31/2017,45011,OH,Cincinnati,Butler,Hamilton,166,1447,0.006958942,0.001384083,0.016151685,22399
8/31/2017,60628,IL,Chicago,Cook,Chicago,167,1316,0.005347594,0.009976976,-0.000759301,20599
8/31/2017,90019,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,168,3228,-0.004932182,-0.004011108,0.033621518,9749
8/31/2017,91911,CA,San Diego,San Diego,Chula Vista,169,2285,0.005721831,0.016459075,0.044810242,15285
8/31/2017,44256,OH,Cleveland,Medina,Medina,170,1617,0.015703518,0.05,0.033887468,21336
8/31/2017,76028,TX,Dallas-Fort Worth,Johnson,Burleson,171,1555,0.00974026,0.02504944,0.052097429,21510
8/31/2017,89121,NV,Las Vegas,Clark,Las Vegas,172,1168,0.006896552,0.017421603,0.025460931,17072
8/31/2017,75228,TX,Dallas-Fort Worth,Dallas,Dallas,173,1371,0.008088235,0.015555556,0.050574713,15266
8/31/2017,2148,MA,Boston,Middlesex,Malden,174,2281,0.001316945,0.005288673,0.033061594,13808
8/31/2017,33647,FL,Tampa,Hillsborough,Tampa,175,1719,0.003502627,0.004088785,0.008802817,21093
8/31/2017,89117,NV,Las Vegas,Clark,Las Vegas,176,1409,0.007147963,0.010760402,0.022496372,18754
8/31/2017,47906,IN,Lafayette-West Lafayette,Tippecanoe,West Lafayette,177,1305,-0.001530222,-0.005335366,0.033254157,12810
8/31/2017,92345,CA,Riverside,San Bernardino,Hesperia,178,1301,0.006187162,0.014029618,0.05088853,21581
8/31/2017,43130,OH,Columbus,Fairfield,Lancaster,179,1050,-0.000951475,0.031434185,-0.077328647,19283
8/31/2017,11236,NY,New York,Kings,New York,180,2137,-0.001868286,-0.011563367,0.020534862,15967
8/31/2017,28314,NC,Fayetteville,Cumberland,Fayetteville,181,794,-0.002512563,-0.013664596,-0.039903265,10276
8/31/2017,40475,KY,Richmond,Madison,Richmond,182,1100,0.003649635,-0.002719855,0.044634378,16410
8/31/2017,94536,CA,San Francisco,Alameda,Fremont,183,3111,0.003224766,0.011378414,-0.002245029,19008
8/31/2017,92503,CA,Riverside,Riverside,Riverside,184,1858,0.006500542,0.01419214,0.060502283,19527
8/31/2017,65203,MO,Columbia,Boone,Columbia,185,1287,0.002336449,-0.000776398,-0.014548239,19651
8/31/2017,19111,PA,Philadelphia,Philadelphia,Philadelphia,186,1249,0.006446414,0.021259199,0.000801282,17154
8/31/2017,92126,CA,San Diego,San Diego,San Diego,187,2489,0.003629032,0.018829308,0.0332088,19523
8/31/2017,77450,TX,Houston,Fort Bend,Cinco Ranch,188,1831,-0.003266195,-0.009734992,-0.045857217,20328
8/31/2017,27406,NC,,Guilford,Greensboro,189,901,0.006703911,0.011223345,0.039215686,21855
8/31/2017,91730,CA,Riverside,San Bernardino,Rancho Cucamonga,190,2078,0.006782946,0.025160335,0.070582174,15890
8/31/2017,90201,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Bell,191,2307,0.000867679,0.005228758,0.089235127,8169
8/31/2017,97229,OR,Portland,Washington,Cedar Mill,192,2368,0.005947324,0.010670081,-0.010447137,20715
8/31/2017,29732,SC,Charlotte,York,Rock Hill,193,1327,0.009125475,0.042419482,0.049841772,19615
8/31/2017,27610,NC,Raleigh,Wake,Raleigh,194,1240,-0.000805802,0.003236246,0.027340514,21172
8/31/2017,76244,TX,Dallas-Fort Worth,Tarrant,Fort Worth,195,1773,0.005102041,0.013722127,0.026635785,20158
8/31/2017,98103,WA,Seattle,King,Seattle,196,2713,0.00705271,0.027651515,0.041059094,17641
8/31/2017,10457,NY,New York,Bronx,New York,197,1757,0.004574042,0.009190121,-0.015134529,3309
8/31/2017,21740,MD,Hagerstown,Washington,Hagerstown,198,1071,-0.007414272,-0.024590164,-0.021023766,19870
8/31/2017,77095,TX,Houston,Harris,Houston,199,1667,-0.00059952,-0.005963029,-0.029685681,20394
8/31/2017,32822,FL,Orlando,Orange,Orlando,200,1208,0.005828476,0.010878661,0.048611111,16095
8/31/2017,22191,VA,Washington,Prince William,Woodbridge,201,1815,0.006097561,0.007773459,0.00889383,17422
8/31/2017,90280,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,South Gate,202,2282,0.001316367,0.011524823,0.091866029,14310
8/31/2017,60626,IL,Chicago,Cook,Chicago,203,1458,-0.000685401,0.004824259,-0.02540107,15085
8/31/2017,92592,CA,Riverside,Riverside,Temecula,204,2245,0.002679768,0.007178107,0.053496011,23429
8/31/2017,87120,NM,Albuquerque,Bernalillo,Albuquerque,205,1206,0.000829876,0,-0.007407407,21586
8/31/2017,98012,WA,Seattle,Snohomish,Bothell,206,2360,0.001697793,0.013310434,0.046099291,20473
8/31/2017,10027,NY,New York,New York,New York,207,3252,0.002157165,0.010565569,-0.007931666,6112
8/31/2017,90004,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,208,3525,-0.00508044,-0.00871766,0.015850144,6495
8/31/2017,92336,CA,Riverside,San Bernardino,Fontana,209,2177,0.000459559,0.001379945,0.028827977,23473
8/31/2017,30062,GA,Atlanta,Cobb,Marietta,210,1909,0.00262605,0.010587612,0.032449973,21881
8/31/2017,46307,IN,Chicago,Lake,Crown Point,211,1565,-0.003184713,0.019543974,0.023544801,29133
8/31/2017,33012,FL,Miami-Fort Lauderdale,Miami-Dade,Hialeah,212,1714,-0.00058309,-0.002908668,0.007642563,18327
8/31/2017,80134,CO,Denver,Douglas,Parker,213,2356,0.000849618,0.003834683,-0.005067568,21379
8/31/2017,23454,VA,Virginia Beach,Virginia Beach City,Virginia Beach,214,1603,0.003757044,0.003128911,0.012634239,20331
8/31/2017,46227,IN,Indianapolis,Marion,Indianapolis,215,1097,0.00274223,0.011059908,-0.001819836,13856
8/31/2017,11238,NY,New York,Kings,New York,216,2725,0.010756677,0.01907255,0.014142166,12554
8/31/2017,74012,OK,Tulsa,Tulsa,Broken Arrow,217,1217,0.003297609,0.009121061,-0.034126984,20841
8/31/2017,21117,MD,Baltimore,Baltimore,Owings Mills,218,1748,0.002293578,0.004020678,0,16416
8/31/2017,90706,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Bellflower,219,2388,0.003783102,0.010579771,0.056169836,12087
8/31/2017,60649,IL,Chicago,Cook,Chicago,220,1253,0.00400641,0.0024,-0.024902724,9812
8/31/2017,7093,NJ,New York,Hudson,West New York,221,2154,0.006542056,0.015558699,-0.025339367,12235
8/31/2017,77459,TX,Houston,Fort Bend,Missouri City,222,1840,-0.004329004,-0.00862069,-0.050077439,22569
8/31/2017,11372,NY,New York,Queens,New York,223,2147,-0.005558129,-0.015589179,-0.02674524,10935
8/31/2017,99301,WA,Kennewick,Franklin,Pasco,224,1336,-0.001494768,0.005267118,0.047843137,19462
8/31/2017,32244,FL,Jacksonville,Duval,Jacksonville,225,1124,0.007168459,0.016274864,0.030247479,18564
8/31/2017,11233,NY,New York,Kings,New York,226,2346,0.002992732,0.004710921,0.016464471,10262
8/31/2017,48103,MI,Ann Arbor,Washtenaw,Ann Arbor,227,2009,-0.002482622,-0.007411067,0.069755059,19512
8/31/2017,33186,FL,Miami-Fort Lauderdale,Miami-Dade,The Crossings,228,1953,0.002052335,0.004113111,0.000512295,25046
8/31/2017,92335,CA,Riverside,San Bernardino,Fontana,229,1700,0.009501188,0.013110846,0.034692635,16171
8/31/2017,92021,CA,San Diego,San Diego,El Cajon,230,2339,0.005588994,0.020061055,0.050763702,12454
8/31/2017,85705,AZ,Tucson,Pima,Tucson,231,997,0.023613963,0.05279831,0.061767838,9565
8/31/2017,20019,DC,Washington,District of Columbia,Washington,232,1942,0.006217617,0.028601695,0.017819706,13170
8/31/2017,76063,TX,Dallas-Fort Worth,Tarrant,Mansfield,233,1857,0.006504065,0.014199891,0.036272321,18962
8/31/2017,43230,OH,Columbus,Franklin,Gahanna,234,1460,0.003436426,0.011781012,0.021693492,18794
8/31/2017,23320,VA,Virginia Beach,Chesapeake City,Chesapeake,235,1515,0.002647253,0.00464191,0.002647253,19737
8/31/2017,22193,VA,Washington,Prince William,Woodbridge,236,1814,0.003318584,0.00498615,0.013407821,22423
8/31/2017,93065,CA,Ventura,Ventura,Simi Valley,237,2718,0.004063539,0.014557671,0.036218071,21048
8/31/2017,48185,MI,Detroit,Wayne,Westland,238,1132,0,-0.002643172,0.01981982,15377
8/31/2017,75217,TX,Dallas-Fort Worth,Dallas,Dallas,239,1133,0.003542958,0.017969452,0.075973409,19219
8/31/2017,27834,NC,Greenville,Pitt,Greenville,240,836,0.001197605,0.002398082,0.010882709,14634
8/31/2017,44130,OH,Cleveland,Cuyahoga,Parma Heights,241,1151,-0.006044905,-0.008613264,0.005240175,17448
8/31/2017,92101,CA,San Diego,San Diego,San Diego,242,2579,0.00545809,0.018964836,0.025855211,13340
8/31/2017,22304,VA,Washington,Alexandria City,Alexandria,243,1993,0.002515091,0.014765784,0.004030227,12669
8/31/2017,91342,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,244,2523,0.004378981,0.014067524,0.03528929,19565
8/31/2017,11223,NY,New York,Kings,New York,245,2232,0.002245173,-0.001342282,0.004048583,11700
